rank,problem,description,impact,urgency,tractability,research_maturity,time_horizon,dependencies
1,Alignment persistence under institutional turnover,Maintain AI safety and legitimacy properties as models institutions operators and cultures change,5,5,2,1,10-100y,"AI evals; governance; constitutional DSL"
2,Epistemic immune systems against AI-scale misinformation,Detect quarantine adjudicate and repair synthetic misinformation ontology poisoning and provenance attacks,5,5,3,2,0-25y,"SECIS; provenance; reputation"
3,Constitutional amendment systems with simulation and proof gates,Make constitutional adaptation possible without crisis or hypermutability,5,4,4,2,0-50y,"TLA+; Alloy; SMT; simulation"
4,Knowledge preservation with semantic continuity for 1000+ years,Preserve not only bits but meaning decoding instructions languages and practical education,5,3,3,2,100-10000y,"OAIS; LOCKSS; language bridges"
5,Capture-resistant polycentric AI governance,Prevent single actors or coalitions from controlling AI governance compute audits and standards,5,5,2,2,0-50y,"identity; legitimacy; audit"
6,Institutional entropy metrics validated across historical cases,Operationalize rule drift bureaucratic overload mission drift and administrative aging,4,4,3,1,0-25y,"historical datasets; ontology"
7,Civilizational cascade simulation with calibrated uncertainty,Model interacting infrastructure economic ecological epistemic and governance cascades,5,4,2,2,10-250y,"ABM; cliodynamics; infrastructure data"
8,Long-horizon economic sustainability under compute and energy constraints,Integrate ecological economics compute governance AI growth and basic-needs floors,5,4,3,2,10-100y,"ecological economics; AI compute data"
9,Legitimacy measurement without surveillance or manipulation,Measure consent trust fairness and acceptance while preserving privacy and resisting Goodharting,5,4,2,1,0-50y,"privacy; deliberation; statistics"
10,Ontology drift detection and repair in governance knowledge graphs,Detect semantic category shifts that change policy meaning or evidence interpretation,4,4,4,2,0-25y,"semantic versioning; graph diff"
11,Emergency powers that remain effective but self-expiring,Design crisis authority that is fast bounded auditable and hard to normalize,4,4,3,3,0-50y,"constitutional design; audits"
12,Replication-market design resistant to manipulation,Build scientific validation markets robust to thin liquidity collusion and ambiguous resolution,4,3,3,2,0-25y,"market design; SECIS"
13,Future-generation representation in present governance,Represent long-horizon interests without creating unaccountable present-day power,5,3,2,2,25-500y,"ethics; law; institutions"
14,Archive custody diversity across jurisdictions and political regimes,Keep critical archives alive despite war regime change legal suppression and institutional failure,4,3,4,3,10-1000y,"treaties; storage; funding"
15,AI-assisted institutional red teaming and reform discovery,Use AI to identify institutional failure modes and candidate reforms under governance constraints,4,4,4,2,0-25y,"simulations; constitutional DSL"
16,Measuring adaptive capacity without Goodhart collapse,Create resilience metrics that remain useful when actors optimize against them,4,4,3,2,0-50y,"metrics; audits; adversarial tests"
17,Commons governance for data model and compute resources,Apply commons governance to AI datasets model weights compute pools and protocol infrastructure,4,4,3,2,0-50y,"property rights; protocols"
18,Cross-civilizational institutional lifecycle dataset,Create a coded dataset of institutional founding drift capture reform collapse and recovery states,4,3,3,2,0-25y,"historians; data modeling"
19,Deep-time education protocols after institutional collapse,Design teaching paths that can restart essential science medicine agriculture and governance,5,2,2,1,100-10000y,"archives; pedagogy; language"
20,AI value update legitimacy under cultural evolution,Govern how aligned AI systems should update as human values change over centuries,5,3,1,1,25-500y,"alignment theory; ethics"
